Gene_name,KL_Temp19_SexF_Rep1,KL_Temp19_SexF_Rep2,KL_Temp19_SexF_Rep3,KL_Temp19_SexM_Rep1,KL_Temp19_SexM_Rep2,KL_Temp19_SexM_Rep3,KL_Temp6_SexF_Rep1,KL_Temp6_SexF_Rep2,KL_Temp6_SexF_Rep3,KL_Temp6_SexM_Rep1,KL_Temp6_SexM_Rep2,KL_Temp6_SexM_Rep3
augustus_masked-scaffold3326-size10196-abinit-gene-0.0,0,0,2,2653,2353,2347,0,0,0,2293,1426,1934
augustus_masked-scaffold33269-size411-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold3329-size30930-abinit-gene-0.1,3905,4155,6094,643,923,754,7122,5614,5052,1096,751,858
augustus_masked-scaffold3329-size30930-abinit-gene-0.2,1521,1900,2355,878,744,808,1934,1316,1160,496,399,487
augustus_masked-scaffold33299-size411-abinit-gene-0.0,0,1,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold333-size46299-abinit-gene-0.0,1,0,0,1453,1182,1497,1,0,2,1153,840,1205
augustus_masked-scaffold3330-size5842-abinit-gene-0.0,3600,2433,3473,480,420,613,4276,3154,2434,718,434,559
augustus_masked-scaffold3338-size22825-abinit-gene-0.0,463,614,1068,37,49,51,1047,755,918,70,58,42
augustus_masked-scaffold3338-size22825-abinit-gene-0.1,1330,1203,2055,73,96,77,1865,1386,1498,81,98,59
augustus_masked-scaffold3345-size9088-abinit-gene-0.0,0,0,0,270,246,225,0,0,0,190,156,164
augustus_masked-scaffold335-size222527-abinit-gene-1.0,0,0,0,454,512,401,2,0,0,526,402,748
augustus_masked-scaffold335-size222527-abinit-gene-1.1,240,531,316,369,176,291,495,700,400,474,376,394
augustus_masked-scaffold335-size222527-abinit-gene-1.2,0,0,0,118,98,135,0,0,0,345,347,633
augustus_masked-scaffold335-size222527-abinit-gene-2.3,0,7,2,0,0,5,4,8,0,4,3,7
augustus_masked-scaffold336-size39300-abinit-gene-0.0,2,2,0,12463,11094,10596,4,2,1,9294,6851,9381
augustus_masked-scaffold336-size39300-abinit-gene-0.1,5,5,4,8890,8007,8313,5,2,8,6997,5195,7351
augustus_masked-scaffold337-size57769-abinit-gene-0.2,1,1,1,3671,3896,3200,2,1,1,3296,2308,3143
augustus_masked-scaffold337-size57769-abinit-gene-0.3,4,0,0,0,0,0,2,0,5,1,0,0
augustus_masked-scaffold3375-size5735-abinit-gene-0.1,1767,2436,1587,4418,4625,3695,1857,1708,1240,2665,1537,1901
augustus_masked-scaffold3378-size14281-abinit-gene-0.0,4,4,0,5,1,0,0,1,0,3,1,4
augustus_masked-scaffold33801-size406-abinit-gene-0.0,113,216,223,109,522,230,189,123,339,280,129,378
augustus_masked-scaffold339-size100693-abinit-gene-0.0,2,9,5,26,41,41,19,14,2,17,21,34
augustus_masked-scaffold339-size100693-abinit-gene-0.1,1,15,0,2,4,5,5,0,0,14,0,13
augustus_masked-scaffold33953-size405-abinit-gene-0.0,1093,1094,1684,226,370,307,1558,1349,1212,360,264,292
augustus_masked-scaffold3396-size15007-abinit-gene-0.0,755,1582,1378,608,848,724,2023,1868,1487,1320,732,834
augustus_masked-scaffold34-size182646-abinit-gene-0.10,3422,2373,5651,266,301,247,4707,2700,3153,314,243,280
augustus_masked-scaffold34-size182646-abinit-gene-0.17,0,1,2,5371,5303,5229,1,0,0,4687,3836,5069
augustus_masked-scaffold34-size182646-abinit-gene-0.2,1,0,0,984,1178,1113,0,0,0,975,779,702
augustus_masked-scaffold34-size182646-abinit-gene-0.3,2340,2346,3082,1961,2122,1814,3868,2755,2577,1762,1286,1500
augustus_masked-scaffold34-size182646-abinit-gene-0.4,5062,5009,9362,1655,1713,1612,10794,6748,7148,1395,1403,1490
augustus_masked-scaffold34-size182646-abinit-gene-0.9,2813,1933,2865,36042,32460,29523,3183,2476,1803,30833,22638,30418
augustus_masked-scaffold34-size182646-abinit-gene-1.0,8397,9374,13975,2537,3379,3036,16390,12244,10224,4073,3160,3495
augustus_masked-scaffold3402-size8598-abinit-gene-0.1,466,636,640,439,456,443,862,773,514,461,331,361
augustus_masked-scaffold3403-size5663-abinit-gene-0.0,0,1,12,212,216,163,1,0,1,173,128,189
augustus_masked-scaffold341-size34346-abinit-gene-0.1,1274,2086,938,1219,1563,1237,881,1160,734,1104,680,757
augustus_masked-scaffold342-size104272-abinit-gene-0.0,1,0,0,1309,850,1032,0,1,0,924,467,935
augustus_masked-scaffold342-size104272-abinit-gene-0.1,1875,1644,3516,94,78,77,5344,3544,4069,239,122,142
augustus_masked-scaffold3420-size13830-abinit-gene-0.0,318,780,302,700,917,787,387,350,340,760,556,643
augustus_masked-scaffold3421-size11720-abinit-gene-0.1,2928,3481,4199,980,811,1017,3788,2477,2603,776,375,617
augustus_masked-scaffold34231-size402-abinit-gene-0.0,0,0,0,0,5,3,0,0,0,4,3,2
augustus_masked-scaffold34249-size402-abinit-gene-0.0,27,88,28,64,99,49,59,94,64,76,80,71
augustus_masked-scaffold3432-size7607-abinit-gene-0.0,0,0,4,11,2,4,4,2,0,13,1,10
augustus_masked-scaffold3434-size14014-abinit-gene-0.0,2,3,8,21377,20133,21355,5,1,1,15889,11489,17801
augustus_masked-scaffold34366-size401-abinit-gene-0.0,5,4,6,2,5,7,25,32,10,5,2,6
augustus_masked-scaffold34378-size401-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold34389-size401-abinit-gene-0.1,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold3439-size23212-abinit-gene-0.1,4,6,15,32566,32615,30633,8,8,2,26643,20527,29260
augustus_masked-scaffold344-size98269-abinit-gene-0.2,214,435,236,330,495,404,125,287,150,247,91,129
augustus_masked-scaffold344-size98269-abinit-gene-0.3,1,53,14,16,39,39,61,27,21,65,28,14
augustus_masked-scaffold3444-size24237-abinit-gene-0.0,97,77,182,0,18,12,219,118,194,14,15,7
augustus_masked-scaffold3447-size8280-abinit-gene-0.0,9944,9173,13846,2008,2820,2422,14426,11219,9532,2992,2076,2346
augustus_masked-scaffold3448-size12333-abinit-gene-0.1,1048,1241,1578,303,433,326,1633,1381,1486,504,292,416
augustus_masked-scaffold345-size71560-abinit-gene-0.1,1,2,3,6154,5890,5429,2,2,0,5160,3591,4768
augustus_masked-scaffold3451-size10749-abinit-gene-0.0,118,294,188,218,254,231,285,270,237,124,137,168
augustus_masked-scaffold346-size146846-abinit-gene-0.3,474,558,853,75,74,57,877,641,630,120,99,114
augustus_masked-scaffold346-size146846-abinit-gene-0.4,12,27,1,11,33,24,1,1,11,15,17,27
augustus_masked-scaffold346-size146846-abinit-gene-0.6,505,1047,818,1812,1446,1307,1050,1040,856,1325,878,871
augustus_masked-scaffold346-size146846-abinit-gene-0.7,0,2,0,4513,3640,4357,2,0,0,3235,2258,3810
augustus_masked-scaffold3469-size13172-abinit-gene-0.0,4,44,1,13,16,21,20,27,24,60,29,35
augustus_masked-scaffold3469-size13172-abinit-gene-0.1,0,5,0,2,8,0,1,0,0,0,0,0
augustus_masked-scaffold347-size58378-abinit-gene-0.0,8,0,0,13464,13497,13025,4,4,3,11536,8686,11407
augustus_masked-scaffold34753-size398-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold3479-size9493-abinit-gene-0.0,1032,1091,1800,1022,1015,879,1665,922,984,866,500,660
augustus_masked-scaffold348-size82608-abinit-gene-0.0,792,1650,879,3977,4953,4369,1145,1299,964,3550,2916,3628
augustus_masked-scaffold348-size82608-abinit-gene-0.2,0,3,2,4100,2515,4092,3,1,0,2728,1723,3068
augustus_masked-scaffold3480-size8009-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,1,0,0
augustus_masked-scaffold3483-size5507-abinit-gene-0.0,7115,6830,10571,267,261,282,11062,8313,7350,319,207,254
augustus_masked-scaffold3488-size12238-abinit-gene-0.0,0,3,0,13,7,27,5,0,0,7,1,6
augustus_masked-scaffold349-size136186-abinit-gene-0.1,7,9,1,2,10,8,3,3,4,3,2,3
augustus_masked-scaffold349-size136186-abinit-gene-0.3,1,5,2,3,5,9,32,21,5,20,8,23
augustus_masked-scaffold349-size136186-abinit-gene-0.4,478,640,413,709,870,724,955,713,554,1145,529,1022
augustus_masked-scaffold349-size136186-abinit-gene-0.5,122,246,264,312,407,362,514,350,140,876,317,538
augustus_masked-scaffold349-size136186-abinit-gene-0.6,636,960,531,1445,1820,1169,2409,1824,894,2871,1576,1929
augustus_masked-scaffold349-size136186-abinit-gene-0.9,3129,2250,3730,887,743,851,3572,2332,2408,875,683,818
augustus_masked-scaffold349-size136186-abinit-gene-1.0,3071,2488,3700,22519,23503,20687,3637,2812,2242,20763,16170,21966
augustus_masked-scaffold349-size136186-abinit-gene-1.10,2159,2613,2958,2122,2384,1883,4387,3033,3072,2683,2069,2426
augustus_masked-scaffold349-size136186-abinit-gene-1.3,0,0,4,5099,7709,5296,2,14,4,7467,6208,6579
augustus_masked-scaffold349-size136186-abinit-gene-1.5,1582,1340,1673,20586,16150,19730,1582,1268,1459,16378,10444,16679
augustus_masked-scaffold349-size136186-abinit-gene-1.6,1710,1911,2385,363,437,431,3853,2896,2580,592,343,420
augustus_masked-scaffold349-size136186-abinit-gene-1.8,609,569,708,116,174,176,843,679,621,155,100,121
augustus_masked-scaffold3492-size13795-abinit-gene-0.1,7,0,2,8691,8457,7076,2,1,3,7441,4981,7324
augustus_masked-scaffold3493-size7073-abinit-gene-0.0,0,0,0,235,218,175,0,0,0,205,138,207
augustus_masked-scaffold3495-size13190-abinit-gene-0.0,57,310,59,133,199,170,89,175,152,297,206,184
augustus_masked-scaffold35-size133594-abinit-gene-0.0,739,2688,450,2033,2296,2001,547,747,942,2094,1862,1560
augustus_masked-scaffold35-size133594-abinit-gene-0.2,4282,4601,6272,3836,4578,4086,7736,5511,4920,4185,2407,3613
augustus_masked-scaffold35-size133594-abinit-gene-0.5,104,156,73,148,164,128,186,142,116,175,147,160
augustus_masked-scaffold35-size133594-abinit-gene-0.7,51,176,88,162,98,141,151,129,121,110,89,80
augustus_masked-scaffold35-size133594-abinit-gene-0.8,2782,4089,4829,774,993,835,6696,5263,4802,1387,931,1004
augustus_masked-scaffold3503-size20910-abinit-gene-0.1,0,3,0,3862,3623,3575,1,1,1,2694,1699,2754
augustus_masked-scaffold351-size40743-abinit-gene-0.0,1328,1538,1698,1179,1219,1012,1852,1340,1484,1412,901,1237
augustus_masked-scaffold351-size40743-abinit-gene-0.2,1072,646,1090,169,221,267,995,664,630,185,154,201
augustus_masked-scaffold351-size40743-abinit-gene-0.3,499,388,452,159,130,199,355,267,215,153,98,148
augustus_masked-scaffold351-size40743-abinit-gene-0.6,3089,3257,4188,2382,2411,2230,4127,3036,2862,1902,1499,1752
augustus_masked-scaffold3515-size5409-abinit-gene-0.0,305,552,224,395,499,372,827,829,552,986,736,1030
augustus_masked-scaffold352-size42231-abinit-gene-0.2,69,75,52,19,124,64,370,292,242,754,525,356
augustus_masked-scaffold3521-size13050-abinit-gene-0.0,0,1,0,1318,1962,1395,0,1,0,1313,867,955
augustus_masked-scaffold3527-size11132-abinit-gene-0.0,45,53,51,15,29,21,67,33,26,15,10,12
augustus_masked-scaffold3529-size21131-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold353-size88051-abinit-gene-0.0,144,281,107,155,181,124,193,245,214,185,135,174
augustus_masked-scaffold353-size88051-abinit-gene-0.10,161,233,241,70,88,65,320,313,295,127,124,100
augustus_masked-scaffold353-size88051-abinit-gene-0.11,855,1587,1534,420,693,518,2024,2155,1771,1112,707,726
augustus_masked-scaffold353-size88051-abinit-gene-0.4,548,903,674,7124,6151,6276,1246,930,807,4943,3919,5165
augustus_masked-scaffold353-size88051-abinit-gene-0.5,8105,7230,12605,4630,4939,4335,14606,11029,10504,5365,5081,4938
augustus_masked-scaffold353-size88051-abinit-gene-0.8,258,333,179,300,270,310,222,335,219,410,316,303
augustus_masked-scaffold3536-size7557-abinit-gene-0.0,0,0,0,535,428,529,0,0,0,410,333,509
augustus_masked-scaffold35385-size392-abinit-gene-0.0,1152,1445,1663,729,796,595,1486,1462,1352,811,525,738
augustus_masked-scaffold35429-size392-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold3543-size5356-abinit-gene-0.0,807,786,1232,279,274,309,1421,1076,1164,621,395,414
augustus_masked-scaffold3556-size6681-abinit-gene-0.0,0,21,12,12,27,3,5,11,27,17,8,15
augustus_masked-scaffold356-size58926-abinit-gene-0.1,6,3,5,13930,13438,12951,5,3,4,10764,8108,11645
augustus_masked-scaffold3560-size5965-abinit-gene-0.0,4,2,5,8119,7918,8250,0,2,5,8531,6055,8565
augustus_masked-scaffold3562-size7734-abinit-gene-0.0,111,302,147,64,73,57,257,168,125,49,45,73
augustus_masked-scaffold3563-size13649-abinit-gene-0.0,5,12,15,10057,10393,9843,16,6,25,7902,6150,8708
augustus_masked-scaffold3566-size8008-abinit-gene-0.0,4,5,0,558,390,506,0,5,4,318,285,424
augustus_masked-scaffold3566-size8008-abinit-gene-0.1,3251,3107,4542,681,1014,746,4695,3643,3538,1050,615,928
augustus_masked-scaffold3567-size11555-abinit-gene-0.1,1202,886,1708,349,275,329,1322,707,738,342,172,326
augustus_masked-scaffold3567-size11555-abinit-gene-0.3,1197,1010,1433,751,573,699,1460,1177,1033,490,405,761
augustus_masked-scaffold3570-size5295-abinit-gene-0.0,0,6,1,1083,1108,957,0,0,0,900,612,742
augustus_masked-scaffold3571-size12807-abinit-gene-0.2,0,4,7,427,362,355,11,13,6,328,354,390
augustus_masked-scaffold3591-size5260-abinit-gene-0.0,12,70,11,41,33,38,17,15,14,32,16,11
augustus_masked-scaffold3595-size12027-abinit-gene-0.0,3,44,0,17,8,11,5,5,23,16,3,10
augustus_masked-scaffold3596-size17277-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold36-size68424-abinit-gene-0.0,0,1,0,0,0,6,4,2,3,8,8,2
augustus_masked-scaffold360-size70867-abinit-gene-0.0,2920,4501,3858,3850,2403,3060,3243,2502,2356,2058,1117,2384
augustus_masked-scaffold360-size70867-abinit-gene-0.1,4996,7175,6431,5756,4111,5708,6190,4892,4665,4060,2529,4460
augustus_masked-scaffold360-size70867-abinit-gene-0.2,918,1634,1088,563,899,1118,1323,651,545,1049,273,687
augustus_masked-scaffold360-size70867-abinit-gene-0.8,6,12,6,48028,42984,40549,10,6,9,37538,28572,40486
augustus_masked-scaffold360-size70867-abinit-gene-0.9,8,6,7,55213,53982,52277,12,7,7,44696,34339,47073
augustus_masked-scaffold3612-size8345-abinit-gene-0.0,6489,9967,8186,6179,7230,6010,8733,7447,6056,5629,4122,6000
augustus_masked-scaffold3613-size37771-abinit-gene-0.0,87,52,84,17,34,31,115,63,78,20,16,17
augustus_masked-scaffold3621-size13011-abinit-gene-0.0,76,71,41,1462,1590,1582,38,74,41,1278,979,1400
augustus_masked-scaffold3621-size13011-abinit-gene-0.1,264,537,377,888,615,645,439,481,460,602,318,877
augustus_masked-scaffold363-size96300-abinit-gene-0.0,17,0,0,39,34,28,0,0,5,28,14,25
augustus_masked-scaffold363-size96300-abinit-gene-0.11,5278,4586,8697,894,1179,1093,7425,5243,5744,1203,848,1220
augustus_masked-scaffold3632-size23747-abinit-gene-0.1,0,0,0,0,0,0,251,231,12,0,0,1
augustus_masked-scaffold3633-size5154-abinit-gene-0.0,53886,75260,49214,13638,20691,15314,43039,40646,31351,21306,14725,16436
augustus_masked-scaffold3634-size7823-abinit-gene-0.0,38,30,15,85,56,70,30,32,26,48,42,43
augustus_masked-scaffold364-size63546-abinit-gene-0.1,594,1809,5270,13375,13796,13455,620,1375,910,5624,4458,7644
augustus_masked-scaffold364-size63546-abinit-gene-0.3,0,1,2,1923,1105,1712,0,0,0,1317,878,1502
augustus_masked-scaffold3654-size12577-abinit-gene-0.1,5,2,3,9563,8853,8620,2,1,12,7270,5601,8340
augustus_masked-scaffold3654-size12577-abinit-gene-0.2,1,0,2,1636,1463,1286,0,0,1,1151,951,1330
augustus_masked-scaffold36542-size382-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold36553-size382-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold366-size139030-abinit-gene-0.2,10,4,1,2983,3049,3013,0,1,2,3287,2577,3227
augustus_masked-scaffold366-size139030-abinit-gene-0.3,1699,1332,2225,1253,1370,1489,2468,1722,1675,1245,924,1292
augustus_masked-scaffold366-size139030-abinit-gene-1.6,285,610,317,894,493,668,349,487,244,614,325,584
augustus_masked-scaffold3663-size18163-abinit-gene-0.0,2694,1545,2906,4510,4058,4069,2175,1393,1288,3794,2271,3479
augustus_masked-scaffold36668-size381-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold36691-size381-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold367-size59349-abinit-gene-0.3,356,291,621,483,494,617,522,380,329,422,307,424
augustus_masked-scaffold367-size59349-abinit-gene-0.4,2518,2098,4192,1169,1352,1140,3845,2503,2843,1265,774,851
augustus_masked-scaffold367-size59349-abinit-gene-0.5,5238,4009,6425,13918,12224,12885,7335,4850,4098,11367,8447,11883
augustus_masked-scaffold367-size59349-abinit-gene-0.7,877,1566,498,1384,1461,1416,511,570,541,1072,766,852
augustus_masked-scaffold3670-size20692-abinit-gene-0.0,0,1,1,4711,4628,3942,0,3,1,3692,2774,3973
augustus_masked-scaffold36741-size380-abinit-gene-0.0,8,14,1,3,2,18,14,14,8,21,8,26
augustus_masked-scaffold3676-size7936-abinit-gene-0.0,0,1,5,7329,7315,6309,1,0,1,5462,4328,5632
augustus_masked-scaffold3676-size7936-abinit-gene-0.1,25,36,34,4,2,1,59,47,38,15,15,9
augustus_masked-scaffold3676-size7936-abinit-gene-0.2,0,0,0,1537,1141,1408,0,0,0,1101,681,1049
augustus_masked-scaffold3679-size7729-abinit-gene-0.1,8,3,0,6,0,0,2,7,16,0,6,6
augustus_masked-scaffold368-size54604-abinit-gene-0.1,944,1170,1753,1093,966,728,1797,1438,1503,918,707,553
augustus_masked-scaffold3684-size9361-abinit-gene-0.0,0,0,0,498,453,573,1,1,0,391,312,475
augustus_masked-scaffold36893-size379-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold369-size56107-abinit-gene-0.0,6947,5475,9888,978,1181,965,9118,5630,5819,1164,906,980
augustus_masked-scaffold369-size56107-abinit-gene-0.1,857,949,1796,393,438,488,2232,1933,1851,792,688,698
augustus_masked-scaffold3692-size23074-abinit-gene-0.1,3,8,2,270,263,239,3,5,0,278,168,225
augustus_masked-scaffold36936-size379-abinit-gene-0.0,136,353,94,189,275,245,166,237,151,444,271,352
augustus_masked-scaffold3696-size15932-abinit-gene-0.1,3,8,6,379,399,434,5,2,0,452,322,356
augustus_masked-scaffold37-size67411-abinit-gene-0.1,655,1352,1401,957,808,959,917,776,630,589,575,880
augustus_masked-scaffold37-size67411-abinit-gene-0.11,5354,3676,7581,1008,1101,1011,7745,5277,4742,1287,1014,1104
augustus_masked-scaffold37-size67411-abinit-gene-0.5,14679,15296,19596,16199,15580,15573,28933,20470,17212,22206,13740,15921
augustus_masked-scaffold37-size67411-abinit-gene-0.7,2006,2682,3111,689,835,713,2368,1690,1632,363,257,388
augustus_masked-scaffold370-size81477-abinit-gene-0.0,217,463,310,603,635,433,579,700,602,974,714,856
augustus_masked-scaffold371-size89062-abinit-gene-0.2,134,240,91,236,236,186,94,92,103,217,176,137
augustus_masked-scaffold3712-size18131-abinit-gene-0.0,4,11,1,2,11,4,5,2,7,13,3,3
augustus_masked-scaffold3714-size9257-abinit-gene-0.0,2049,1474,2877,40,37,25,2731,1614,1351,45,36,25
augustus_masked-scaffold372-size68376-abinit-gene-0.1,0,1,0,2593,2199,2321,4,3,2,1866,1609,1978
augustus_masked-scaffold3724-size8533-abinit-gene-0.0,6,135,10,1,10,39,70,52,28,6,39,19
augustus_masked-scaffold3728-size6465-abinit-gene-0.0,2,0,1,7077,5713,7111,0,0,1,5454,4139,6370
augustus_masked-scaffold373-size40726-abinit-gene-0.1,0,0,4,9,4,13,9,22,0,18,7,9
augustus_masked-scaffold373-size40726-abinit-gene-0.2,8885,9520,13188,3770,4443,3614,13875,10964,10514,4100,3352,4119
augustus_masked-scaffold3735-size8377-abinit-gene-0.0,0,0,0,2,5,4,0,1,0,5,0,0
augustus_masked-scaffold37381-size375-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold374-size136159-abinit-gene-0.0,0,1,2,2671,2252,2977,0,1,0,2366,1612,3038
augustus_masked-scaffold374-size136159-abinit-gene-0.2,0,0,0,0,0,3,0,0,0,1,0,31
augustus_masked-scaffold374-size136159-abinit-gene-1.0,5943,7446,9580,1938,2586,2146,10110,6799,7410,2461,1735,1912
augustus_masked-scaffold3754-size7923-abinit-gene-0.0,7439,6513,6164,16113,11248,9842,8115,5497,5259,7099,3940,4673
augustus_masked-scaffold3767-size4903-abinit-gene-0.0,0,0,0,1058,977,1286,0,0,0,716,530,821
augustus_masked-scaffold3770-size4899-abinit-gene-0.1,0,0,0,0,0,0,0,1,0,0,0,0
augustus_masked-scaffold3777-size8127-abinit-gene-0.0,0,0,0,1699,1699,1346,0,2,2,1185,904,1217
augustus_masked-scaffold3778-size9575-abinit-gene-0.0,2279,4189,4911,687,1322,986,8533,7479,7277,1991,1069,1324
augustus_masked-scaffold378-size77378-abinit-gene-0.2,3390,5399,5454,2125,3301,2727,7627,6525,6365,3908,2700,3703
augustus_masked-scaffold378-size77378-abinit-gene-0.3,1182,2445,3448,947,1752,1583,4152,3778,3413,2235,1690,1795
augustus_masked-scaffold378-size77378-abinit-gene-0.5,553,1018,825,2241,2346,2079,1779,1504,1315,2383,1727,2267
augustus_masked-scaffold378-size77378-abinit-gene-0.6,4340,3552,5620,983,1072,1119,6307,4504,3764,1189,877,1041
augustus_masked-scaffold3781-size9086-abinit-gene-0.1,0,4,0,0,0,0,0,2,0,14,1,2
augustus_masked-scaffold3781-size9086-abinit-gene-0.3,146,289,86,312,201,248,303,329,214,403,176,160
augustus_masked-scaffold37810-size371-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold3787-size8429-abinit-gene-0.0,0,0,0,0,0,5,0,3,2,0,6,6
augustus_masked-scaffold37881-size371-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold38-size181029-abinit-gene-0.1,31,82,46,69,78,63,112,123,102,55,34,22
augustus_masked-scaffold38-size181029-abinit-gene-1.2,497,872,582,945,750,726,596,511,319,884,570,811
augustus_masked-scaffold38-size181029-abinit-gene-1.3,20848,37293,37707,33263,35796,33230,34030,27762,19715,38174,32523,41906
augustus_masked-scaffold38-size181029-abinit-gene-1.8,7470,10491,6856,29960,34098,29847,9368,8620,7259,35329,27391,36620
augustus_masked-scaffold380-size92745-abinit-gene-0.5,2677,1603,3940,30,17,18,3113,1865,1869,36,8,19
augustus_masked-scaffold380-size92745-abinit-gene-0.6,1075,664,1340,1174,1091,1158,1153,870,660,775,697,1353
augustus_masked-scaffold380-size92745-abinit-gene-0.7,300,504,815,227,262,447,556,619,442,723,316,683
augustus_masked-scaffold380-size92745-abinit-gene-0.9,1129,789,1092,400,565,520,992,748,686,508,222,319
augustus_masked-scaffold3817-size6617-abinit-gene-0.0,0,1,0,3508,3035,3233,0,1,1,2594,1804,2737
augustus_masked-scaffold3825-size9642-abinit-gene-0.0,404,1166,1074,233,402,281,1382,1619,1408,605,348,339
augustus_masked-scaffold3825-size9642-abinit-gene-0.2,275,511,269,653,474,655,254,256,243,510,271,437
augustus_masked-scaffold383-size108311-abinit-gene-0.3,48,224,17,6503,6375,6050,313,255,343,6243,4121,5804
augustus_masked-scaffold383-size108311-abinit-gene-0.5,5064,5185,7022,6806,7138,6253,8347,5871,5176,6130,4777,6024
augustus_masked-scaffold383-size108311-abinit-gene-0.6,1331,1302,1322,846,565,795,1291,1028,965,486,308,514
augustus_masked-scaffold38419-size367-abinit-gene-0.0,113,271,325,99,142,115,404,307,348,169,152,186
augustus_masked-scaffold385-size114879-abinit-gene-0.1,4588,3441,6811,1182,1222,954,6063,3914,4124,1068,569,937
augustus_masked-scaffold385-size114879-abinit-gene-0.6,28,34,62,16,22,22,45,42,64,13,8,6
augustus_masked-scaffold386-size99631-abinit-gene-0.0,773,796,1147,592,556,509,1091,741,728,318,257,274
augustus_masked-scaffold386-size99631-abinit-gene-0.1,515,397,735,327,324,313,652,461,450,270,136,189
augustus_masked-scaffold386-size99631-abinit-gene-0.2,29687,33185,38452,16895,16736,17815,41305,32911,26359,15520,10513,14697
augustus_masked-scaffold386-size99631-abinit-gene-0.3,2117,2716,3343,3119,3487,3069,6244,4481,4426,4441,3131,3826
augustus_masked-scaffold3863-size13695-abinit-gene-0.0,0,0,0,0,1,0,0,0,0,0,0,0
augustus_masked-scaffold38635-size365-abinit-gene-0.0,13,63,17,10,33,26,22,82,17,119,79,53
augustus_masked-scaffold3865-size5617-abinit-gene-0.0,6072,5634,9576,1066,1476,1223,8886,6710,6627,2381,1358,1394
augustus_masked-scaffold387-size32679-abinit-gene-0.4,1976,1433,2968,1010,1143,863,3116,1898,1890,902,643,841
augustus_masked-scaffold387-size32679-abinit-gene-0.5,3934,4289,7288,2260,2240,1977,9522,7293,6980,2231,1920,1871
augustus_masked-scaffold3870-size4740-abinit-gene-0.0,77,65,38,21,27,55,380,74,215,8,2,29
augustus_masked-scaffold38701-size365-abinit-gene-0.0,5,34,1,5,11,21,6,33,26,31,20,21
augustus_masked-scaffold38702-size365-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold38722-size365-abinit-gene-0.0,0,0,0,0,0,0,0,0,0,0,0,0
augustus_masked-scaffold3876-size4730-abinit-gene-0.0,0,3,0,10,18,12,2,0,0,18,4,8
augustus_masked-scaffold3879-size4727-abinit-gene-0.1,891,885,1334,299,355,281,1411,917,804,309,273,364
augustus_masked-scaffold388-size32662-abinit-gene-0.2,286,273,514,2963,2799,2996,426,321,263,2634,1593,2505
augustus_masked-scaffold388-size32662-abinit-gene-0.7,1534,1457,2119,1077,874,1017,2173,1574,1392,860,539,726
augustus_masked-scaffold3885-size9357-abinit-gene-0.0,166,791,247,286,397,297,611,970,676,831,449,784
augustus_masked-scaffold3889-size12602-abinit-gene-0.0,279,561,494,166,138,187,699,591,556,239,130,237
augustus_masked-scaffold3889-size12602-abinit-gene-0.4,95,99,53,73,119,106,126,93,150,97,61,93
augustus_masked-scaffold39-size136389-abinit-gene-0.8,9665,7052,12039,5545,5165,5198,12749,8530,7429,5311,4148,5560
augustus_masked-scaffold39-size136389-abinit-gene-1.1,2432,2572,3481,1496,1738,1558,6038,4772,4323,2589,1757,2189
augustus_masked-scaffold39-size136389-abinit-gene-1.2,3287,2710,4269,1606,1841,1523,4591,3215,2895,1916,1167,1603
augustus_masked-scaffold390-size32605-abinit-gene-0.3,2984,2588,4137,1202,1341,1137,4142,2973,2795,1091,792,993
augustus_masked-scaffold3903-size15125-abinit-gene-0.0,226,640,198,928,1029,917,430,540,443,1145,641,919
augustus_masked-scaffold3904-size9167-abinit-gene-0.0,22,18,29,33,9,11,5,4,0,14,16,4
augustus_masked-scaffold3904-size9167-abinit-gene-0.2,15,38,14,15,10,20,3,2,4,19,8,16
augustus_masked-scaffold391-size49126-abinit-gene-0.2,1209,933,1491,687,519,521,1785,903,688,503,447,494
